source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Castle Clash: Quyết Chiến,,2019-07-28 17:31:50,Có Clasher nào đã đồng hành cùng Castle Clash Việt Nam trên 2000 ngày chưa vậy ?  --------  🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,120,108,11,,1,,,52 bình luậ,2769629559731599,/story.php?story_fbid=2769629559731599&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-27 10:22:44,Phiên bản Castle Clash Sinh Nhật 6 Tuổi mới nhất đã lên sóng. Tìm Castle Clash: Quyết Chiến trên Google Play (CH Play). Hoặc tải ngay tại: https://bit.ly/1zeg67o Lưu ý: Clasher nào không thể vào các trang sự kiện tri ân sinh nhật vui lòng update ngay và thử lại nhé! --------  🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,131,123,4,3,1,,,37 bình luậ,2767287913299097,/story.php?story_fbid=2767287913299097&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-26 18:08:51,Clasher đã có Bánh Sinh Nhật ăn chưa nào ? --------  🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,158,138,9,6,3,2,,74 bình luậ,2766006243427264,/story.php?story_fbid=2766006243427264&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-25 10:49:18,"Lễ Hội Sinh Nhật Castle Clash đã chính thức bắt đầu. 500 Clasher thích nhất quà gì nào? Tượng Thần Sấm, Mũ phiên bản đặc biệt, hay Cốc thần thú ? --------  🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien",285,257,13,12,2,,1,169 bình luậ,2763721450322410,/story.php?story_fbid=2763721450322410&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-24 11:21:09,,238,218,12,6,,,2,45 bình luậ,2761894413838447,/CastleClashVietnamIGG/photos/a.970559402971966/2761894413838447
Castle Clash: Quyết Chiến,,2019-07-22 18:33:27,"[Góc Update] Tướng mới đã về đội ? - Vu Sĩ Độc ném một lưỡi dao độc vào X mục tiêu địch ngẫu nhiên, gây tổng X% thiệt hại công thường trong X giây. Loại bỏ các điều kiện từ X Tướng đồng minh. Đồng thời tạo một khiên trên mỗi người trong X giây. Khi khiên còn, các Tướng trong phạm vi sẽ tăng thêm X% tấn công và chuyển tất cả thiệt hại nhận được để hồi HP. - Tướng nhận ít hơn X% thiệt hại, hồi năng lượng nhanh, miễn dịch với Choáng, Sợ hãi và Câm lặng. --------  🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien",181,162,11,4,2,2,,83 bình luậ,2758549087506313,/story.php?story_fbid=2758549087506313&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-22 08:47:56,Xin trân trọng thông báo thời gian bảo trì phiên bản mới sẽ bắt đầu chính thức từ 8:30 ngày 22/7/2019. Sớm hơn 2 giờ so với dự kiến. Và phần thưởng sau bảo trì Ad đã xin bên quản lý sẽ lên đến 500 Ngọc. --------  🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,213,185,14,11,2,,1,92 bình luậ,2757871060907449,/story.php?story_fbid=2757871060907449&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-21 19:15:00,"Xin được thông báo Castle Clash sẽ tiến hành bảo trì để cập nhật phiên bản mới nhất dự kiến vào 10:30 ngày 22/7/2019. 500 ace Clasher vui lòng lưu ý sắp xếp nhé! Nội dung update dự kiến: 1. Tính năng mới Giải Siêu Đấu 2. Giao diện Sinh Nhật mới (Nền và Trang trí) 3. Skin Tướng mới (Lửa Độc, Bão Đen, Bá Tước Quạ) 4. Skin Nhà mới (Nhà Huấn Luyện, Sàn Đấu, Nhà Liên Minh, Kho Vũ Khí, Đài Hộ Vệ) 5. Tướng mới: Vu Sĩ Độc 6. Kỹ năng, Đá tinh và Bài mới: Kiếm Bay 7. Kỹ năng Vũ khí mới: Độc Trị Thuật 8. Tối ưu Thử Thách Đảo Nổi. 9. Ra mắt tính năng ""Tăng Nhanh"" cấp Siêu Hóa. --------  🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien",239,214,11,11,2,,1,79 bình luậ,2756546644373224,/story.php?story_fbid=2756546644373224&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-19 17:56:34,[Góc cập nhật] Cơn bão mới mang tên Rồng 2 Đầu. --------  🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,237,213,11,2,11,,,88 bình luậ,2752724384755450,/story.php?story_fbid=2752724384755450&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-18 10:27:09,Có bà con nào đã đồng hành cùng Castle Clash trên 5 năm chưa nhỉ ? --------  🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,233,211,12,8,,2,,151 bình luậ,2750377588323463,/story.php?story_fbid=2750377588323463&id=970540989640474
