source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Cộng Đồng Battlegrounds Việt Nam,,2019-07-29 10:00:01,Người yêu hòa bình :)) #Bu,"1,3K",726,549,2,8,53,1,180 bình luậ,2400433390194229,/story.php?story_fbid=2400433390194229&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-28 19:00:00,Không bao giờ sống quá 3p 😭 #Bu,"1,7K","1,2K",368,7,2,117,,236 bình luậ,2399971896907045,/story.php?story_fbid=2399971896907045&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-28 18:30:00,Rồi chơi như này ai chơi lại :),"1,6K","1,1K",308,19,124,39,1,355 bình luậ,2399505396953695,/story.php?story_fbid=2399505396953695&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Mèo Sao Hỏa",Mèo Sao Hỏa,2019-07-28 15:03:08,cleo lại lên vàng 1 thui huhu From Sao Hỏa ♥ #boxstudio #facebookgaming #meosaohoa,77,70,6,1,,,,5 bình luậ,2400272943543607,/story.php?story_fbid=2400272943543607&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-28 18:00:00,Chứ còn sao nữa :)) #Bu,"5,9K","4,6K","1,1K",36,36,166,2,1.273 bình luậ,2399971050240463,/story.php?story_fbid=2399971050240463&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-28 17:00:00,Logic ngộ ghê 😩 #Bu,"2,5K","1,6K",680,6,3,148,,311 bình luậ,2399970143573887,/story.php?story_fbid=2399970143573887&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-28 16:00:00,Nể lắm luôn á :)) #Bu,"4,6K",3K,"1,4K",14,8,81,1,780 bình luậ,2399969570240611,/story.php?story_fbid=2399969570240611&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Box Girl",Box Girl,2019-07-28 15:34:07,Tâm sự chuyện thầm kín nè <3 Fb: https://www.facebook.com/trangnhung.tran.9678Chúc mn buổi chiều vui vẻ nè <3 cmt nói chuyện tâm sự chém gió nàooooo Fb tui : https://www.facebook.com/trangnhung.tran.9678,50,45,2,3,,,,3 bình luậ,2400189036885331,/story.php?story_fbid=2400189036885331&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-28 14:00:00,Why??? #Bu,"2,8K","1,9K",805,4,5,97,,236 bình luậ,2399968346907400,/story.php?story_fbid=2399968346907400&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Box Girl",Box Girl,2019-07-28 13:00:41,Tâm sự chuyện thầm kín nè ^^ FB:https://www.facebook.com/trang.pham.124.Tâm sự hông mấy caajuuuuu <3 Share nhìu giúp mình add FB nè : https://www.facebook.com/trang.pham.124.,31,30,1,,,,,1 bình luậ,2400129150224653,/story.php?story_fbid=2400129150224653&id=1923466774557562
