,reactions,comments,post_id
187,24000,183 bình luậ,334446633888764
567,24000,183 bình luậ,334446633888764
497,16000,63 bình luậ,340009916665769
117,16000,63 bình luậ,340009916665769
174,13000,76 bình luậ,336009907065770
554,13000,76 bình luậ,336009907065770
443,8900,102 bình luậ,342114889788605
63,8900,102 bình luậ,342114889788605
362,5600,47 bình luậ,324017978264963
176,3200,114 bình luậ,335464367120324
556,3200,114 bình luậ,335464367120324
118,3100,13 bình luậ,339654690034625
498,3100,13 bình luậ,339654690034625
531,2500,2.251 bình luậ,654193545004308
327,2500,2.251 bình luậ,654193545004308
1,2500,83 bình luậ,355428145123946
381,2500,85 bình luậ,355428145123946
151,2500,2.251 bình luậ,654193545004308
363,1700,32 bình luậ,324017464931681
295,1200,933 bình luậ,435243770603086
294,1200,933 bình luậ,435243770603086
346,1200,933 bình luậ,435243770603086
351,1000,464 bình luậ,297190047833079
601,841,432 bình luậ,650080115399980
221,841,432 bình luậ,650080115399980
337,841,432 bình luậ,650080115399980
122,598,24 bình luậ,339497563383671
502,598,24 bình luậ,339497563383671
445,557,39 bình luậ,341816506485110
65,557,39 bình luậ,341816506485110
562,411,37 bình luậ,335361630463931
182,411,37 bình luậ,335361630463931
278,378,13 bình luậ,330460954287332
658,378,13 bình luậ,330460954287332
364,356,7 bình luậ,324010501599044
24,315,83 bình luậ,428062704459891
404,315,83 bình luậ,428062704459891
303,315,83 bình luậ,428062704459891
400,296,24 bình luậ,354442241889203
20,295,24 bình luậ,354442241889203
314,292,253 bình luậ,2764441393628308
86,292,253 bình luậ,2764441393628308
466,292,253 bình luậ,2764441393628308
508,276,23 bình luậ,338237980176296
128,276,23 bình luậ,338237980176296
444,259,18 bình luậ,341831073150320
64,259,18 bình luậ,341831073150320
423,251,59 bình luậ,347043975962363
43,251,59 bình luậ,347043975962363
388,244,32 bình luậ,354876818512412
8,244,32 bình luậ,354876818512412
315,235,196 bình luậ,2529422320416001
89,235,196 bình luậ,2529422320416001
469,235,196 bình luậ,2529422320416001
622,232,13 bình luậ,332894224044005
634,232,8 bình luậ,332389567427804
242,232,13 bình luậ,332894224044005
254,232,8 bình luậ,332389567427804
341,232,8 bình luậ,332389567427804
27,219,43 bình luậ,350340105632750
407,219,43 bình luậ,350340105632750
440,215,10 bình luậ,343275993005828
60,215,10 bình luậ,343275993005828
631,202,7 bình luậ,332395494093878
251,202,7 bình luậ,332395494093878
244,184,4 bình luậ,332871990712895
624,184,4 bình luậ,332871990712895
574,178,6 bình luậ,334380753895352
194,178,6 bình luậ,334380753895352
462,176,8 bình luậ,341668856499875
82,176,8 bình luậ,341668856499875
313,176,8 bình luậ,341668856499875
543,175,13 bình luậ,337076076959153
163,175,13 bình luậ,337076076959153
461,174,11 bình luậ,341674403165987
495,174,1 bình luậ,340145499985544
115,174,1 bình luậ,340145499985544
322,174,1 bình luậ,340145499985544
81,174,11 bình luậ,341674403165987
159,173,24 bình luậ,337028653630562
539,173,24 bình luậ,337028653630562
121,167,11 bình luậ,339535926713168
323,167,11 bình luậ,339535926713168
526,167,12 bình luậ,338094290190665
146,167,12 bình luậ,338094290190665
598,167,6 bình luậ,333804253953002
501,167,11 bình luậ,339535926713168
218,167,6 bình luậ,333804253953002
156,165,8 bình luậ,337478856918875
536,165,8 bình luậ,337478856918875
178,165,22 bình luậ,335538110446283
558,165,22 bình luậ,335538110446283
619,160,3 bình luậ,332900454043382
239,160,3 bình luậ,332900454043382
620,159,4 bình luậ,332894960710598
240,159,4 bình luậ,332894960710598
347,155,9 bình luậ,329966721003422
409,154,11 bình luậ,350328952300532
29,154,11 bình luậ,350328952300532
