source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
" BATTLEGROUNDS, BATTLEGROUNDS", BATTLEGROUNDS,2019-07-29 09:31:36,🇻🇳 Khoảnh khắc lịch sử đúng 1 năm về trước (29/07/2018) 🇻🇳 Khi Refund giành Chicken Dinner tại PGI 2018 #PUBG #PUBGVN #PUBGVietnam #Refund #PGI #ChickenDinnerPhút giây lịch sử của cờ đỏ sao vàng 🇻🇳 trên nóc hầm map Erangel #PGI2018,615,500,38,79,,,,40 bình luậ,869988253379464,/story.php?story_fbid=869988253379464&id=526840431027583
PLAYERUNKNOWN'S BATTLEGROUNDS,,2019-07-28 14:45:15,,979,904,27,32,11,5,,,869499793428310,/PUBG.VN.Official/photos/a.867078410337115/869499793428310
 BATTLEGROUNDS,,2019-07-28 13:22:05,"😎 Ở bản patch 4.1, giờ bạn có thể vừa lái xe vừa thưởng thức các bản nhạc cực chất trong PUBG. ➡ Chi tiết bản Patch 4.1 xem tại: http://bit.ly/Patch4-1VN 🎉 Máy chủ LIVE đã ra mắt bản Patch 4.1 với nhiều tính năng và cập nhật mới vô cùng hấp dẫn 1⃣ CẬP NHẬT ĐỒ HỌA ERANGEL - Bản đồ huyền thoại Erangel sẽ được làm mới lại với một diện mạo mới tuyệt đẹp. 2⃣ SURVIVOR PASS 4: AFTERMATH - Survivor Pass mới với nhiều phần thưởng cực hấp dẫn sẽ được ra mắt. ➡ Chi tiết Survivor Pass 4: Aftermath xem tại: https://pass.pubg.com/ 3⃣ HỆ THỐNG NHIỆM VỤ HỢP TÁC - Hệ thống mới trong Survivor Pass sẽ giúp bạn có thể cùng các người chơi khác hoàn thành nhiệm vụ và nhận thưởng. 4⃣ HỆ THỐNG DANH HIỆU SINH TỒN MÙA 4 - Mùa rank thứ 4 sẽ được bắt đầu từ ngày 24 tháng 07 với phần thưởng là các skin cực chất. 5⃣ CÂN BẰNG VŨ KHÍ VÀ PHƯƠNG TIỆN - Điều chỉnh chỉ số của rất nhiều loại vũ khí và phương tiện. 6⃣ CẢI TIẾN VẬT PHẨM HỒI MÁU VÀ TĂNG LỰC - Cải tiến cách sử dụng các vật phẩm này để tiện lợi hơn khi sử dụng. 7⃣ THÊM ĐẦU ĐĨA THAN VÀO BẢN ĐỒ ERANGEL - Giờ bạn có thể có thêm những chiến thuật mới với chiếc máy phát nhạc này. 8⃣ LÀM MỚI GIAO DIỆN TAB NGOẠI HÌNH NHÂN VẬT - Làm mới tab Ngoại Hình và có thêm cả skin cho phương tiện 9⃣ THẾ GIỚI - Logo của PUBG Nations Cup Seoul 2019 sẽ xuất hiện ở nhiều bản đồ. 🔟 CẢI THIỆN HỆ THỐNG TÌM TRẬN - Hệ thống tìm trận sẽ được cập nhật giúp bạn tìm trận nhanh nhất 1⃣1⃣ THÊM SKIN CHẢO CỦA PUBG NATIONS CUP - Bạn có thể mua skin này từ ngày 31/07/2019. 1⃣2⃣ CẬP NHẬT GIẢI PHÉP CHO VIỆC FPS ẢNH HƯỚNG TỚI TỐC ĐỘ BẮN CỦA ĐẠN 1⃣3⃣ CẢI THIỆN GIAO DIỆN VÒNG TRONG GAME - Giao diện vòng giờ sẽ ở bên phải, tiện cho bạn sử dụng hơn ➡ Chi tiết bản Patch 4.1 xem tại: http://bit.ly/Patch4-1VN 🎉 Hãy cùng trải nghiệm tất cả những điều hấp dẫn nhất ở Patch 4.1 ngay bây giờ trên máy chủ LIVE! #PUBG #PUBGVN #PUBGSEA #Patch #Erangel #SurvivorPass4 #Aftermath #NhiệmvụHợpTác #Danhhiệusinhtồnmùa4 #ĐầuĐĩaThan #PUBGNationsCup2019",593,545,32,14,2,,,66 bình luậ,869468506764772,/story.php?story_fbid=869468506764772&id=526840431027583
 BATTLEGROUNDS,,2019-07-28 10:51:30,"❄️ MUA PUBG TẠI HTTPS://PUBG.GCP.VN CHỈ VỚI GIÁ 170,000 VNĐ ❄️ 🎉 Để chào mừng sự ra mắt của phiên bản 4.1 với Cập nhật đồ họa Erangel, Survivor Pass 4: Aftermath (với gần 100 skin súng, quần áo cực chất)... PUBG sẽ giảm giá 50% khi mua game PUBG trên GCP và Steam. 💵 ️Mua PUBG ngay tại: https://pubg.gcp.vn/ 🕛 Thời gian khuyến mãi: từ 17 giờ ngày 24/07/2019 đến 17 giờ ngày 30/07/2019 ➡ Xem hướng dẫn cách mua tại: https://blog.gcp.vn/huong-dan-mua-hang-pubg-danh-cho-khach-hang ❗ Lưu ý: - PUBG Corp. khuyến cáo các bạn CHỈ NÊN giao dịch thông qua Steam Store và website GCP để nhận được các hỗ trợ, ưu đãi từ PUBG Corp. - Các bạn không nên mua/giao dịch ở bất cứ các bên thứ ba nào khác để tránh các vấn đề rắc rối, thiệt hại có thể xảy ra với tài khoản. #PUBG #PUBGVN #sale #GCP #GCParty",284,268,6,8,1,1,,47 bình luậ,869407010104255,/story.php?story_fbid=869407010104255&id=526840431027583
 BATTLEGROUNDS,,2019-07-27 15:59:02,"🔸 16 team sẽ góp mặt tại giải đấu PUBG lớn nhất Châu Á trong năm 2019: MET Asia Series với tổng giá trị giải thưởng lên tới 300,000 USD 🇮🇩 Rex Regum Qeon 🇹🇭 Armory Gaming 🇹🇭 Tokio Striker 🇹🇼 Nova Monster Shield 🇹🇼 AHQ eSports Club 🇯🇵 DetonatioN Gaming White 🇯🇵 Rascal Jester 🇰🇷 Gen.G 🇰🇷 DPG danawa 🇰🇷 DeToNator 🇰🇷 DPG EVGA 🇨🇳 VC Gaming 🇨🇳 Black Ananas 🇨🇳 17 Gaming 🇨🇳 Vici Gaming 🇨🇳 Weibo #PUBG #PUBGVN #PUBGVietnam #MET_Asia_Series #PUBGClassic","1,1K",1K,24,64,4,7,3,374 bình luậ,2303271139938715,/story.php?story_fbid=2303271139938715&id=526840431027583
 BATTLEGROUNDS,,2019-07-27 15:43:44,"🖥 CYBER GAME MỚI DÀNH CHO GAME THỦ PUBG TẠI QUẬN CẦU GIẤY, HÀ NỘI 🔸 Vào 8 giờ sáng mai Chủ Nhật (28/07/2019), cơ sở mới của chuỗi Cyber Game Vikings: Vikings Thành Thái sẽ chính thức đi vào hoạt động. 🔸 Cấu hình các dàn máy đều sử dụng CPU Coffee Lake chất lượng, RAM 16Gb và VGA từ GTX 1060, 1660Ti cho đến RTX 2060 cùng màn hình với tần số quét từ 144 Hz đến 240 Hz.. Đây là một cấu hình hoàn hảo để bạn có thể cùng bạn bè chạy bo và giành Chicken Dinner. 🔸 Ngoài ra, Vikings còn chuẩn bị rất nhiều khuyến mãi khủng dành cho các game thủ vào ngày khai trương.  🔸 Cùng đến và chạy bo tại Vikings Thành Thái, tầng 7, Tòa Nhà D Office, số 28 Thành Thái, Cầu Giấy, Hà Nội. #PUBGVN #VikingsGaming","1,1K",1K,14,35,31,3,,80 bình luậ,868890866822536,/story.php?story_fbid=868890866822536&id=526840431027583
 BATTLEGROUNDS,,2019-07-27 12:47:29,"😎 Bạn thấy sao khi trải nghiệm Cập nhật đồ họa trên bản đồ Erangel?  ➡ Chi tiết bản Patch 4.1 xem tại: http://bit.ly/Patch4-1VN 🎉 Máy chủ LIVE đã ra mắt bản Patch 4.1 với nhiều tính năng và cập nhật mới vô cùng hấp dẫn 1⃣ CẬP NHẬT ĐỒ HỌA ERANGEL - Bản đồ huyền thoại Erangel sẽ được làm mới lại với một diện mạo mới tuyệt đẹp. 2⃣ SURVIVOR PASS 4: AFTERMATH - Survivor Pass mới với nhiều phần thưởng cực hấp dẫn sẽ được ra mắt. ➡ Chi tiết Survivor Pass 4: Aftermath xem tại: https://pass.pubg.com/ 3⃣ HỆ THỐNG NHIỆM VỤ HỢP TÁC - Hệ thống mới trong Survivor Pass sẽ giúp bạn có thể cùng các người chơi khác hoàn thành nhiệm vụ và nhận thưởng. 4⃣ HỆ THỐNG DANH HIỆU SINH TỒN MÙA 4 - Mùa rank thứ 4 sẽ được bắt đầu từ ngày 24 tháng 07 với phần thưởng là các skin cực chất. 5⃣ CÂN BẰNG VŨ KHÍ VÀ PHƯƠNG TIỆN - Điều chỉnh chỉ số của rất nhiều loại vũ khí và phương tiện. 6⃣ CẢI TIẾN VẬT PHẨM HỒI MÁU VÀ TĂNG LỰC - Cải tiến cách sử dụng các vật phẩm này để tiện lợi hơn khi sử dụng. 7⃣ THÊM ĐẦU ĐĨA THAN VÀO BẢN ĐỒ ERANGEL - Giờ bạn có thể có thêm những chiến thuật mới với chiếc máy phát nhạc này. 8⃣ LÀM MỚI GIAO DIỆN TAB NGOẠI HÌNH NHÂN VẬT - Làm mới tab Ngoại Hình và có thêm cả skin cho phương tiện 9⃣ THẾ GIỚI - Logo của PUBG Nations Cup Seoul 2019 sẽ xuất hiện ở nhiều bản đồ. 🔟 CẢI THIỆN HỆ THỐNG TÌM TRẬN - Hệ thống tìm trận sẽ được cập nhật giúp bạn tìm trận nhanh nhất 1⃣1⃣ THÊM SKIN CHẢO CỦA PUBG NATIONS CUP - Bạn có thể mua skin này từ ngày 31/07/2019. 1⃣2⃣ CẬP NHẬT GIẢI PHÉP CHO VIỆC FPS ẢNH HƯỚNG TỚI TỐC ĐỘ BẮN CỦA ĐẠN 1⃣3⃣ CẢI THIỆN GIAO DIỆN VÒNG TRONG GAME - Giao diện vòng giờ sẽ ở bên phải, tiện cho bạn sử dụng hơn ➡ Chi tiết bản Patch 4.1 xem tại: http://bit.ly/Patch4-1VN 🎉 Hãy cùng trải nghiệm tất cả những điều hấp dẫn nhất ở Patch 4.1 ngay bây giờ trên máy chủ LIVE! #PUBG #PUBGVN #PUBGSEA #Patch #Erangel #SurvivorPass4 #Aftermath #NhiệmvụHợpTác #Danhhiệusinhtồnmùa4 #ĐầuĐĩaThan #PUBGNationsCup2019","1,2K","1,1K",32,44,3,2,2,284 bình luậ,868824606829162,/story.php?story_fbid=868824606829162&id=526840431027583
 BATTLEGROUNDS,,2019-07-27 09:19:12,"🎉 PHẦN THƯỞNG CHO HỆ THỐNG DANH HIỆU SINH TỒN MÙA GIẢI 4  🔸 Hệ thống Danh Hiệu Sinh Tồn Mùa 4 với các phần thưởng mùa mới! 🔸 Ngày bắt đầu hệ thống Danh Hiệu Sinh Tồn Mùa 4: 24/07/2019 🔸 Điểm Sinh Tồn (Survival Point - SP) kiếm được ở mùa giải trước sẽ bị reset. 🔸 Điểm Sinh Tồn (Survival Point - SP) tăng lên đáng kể khi chơi ở bản đồ Erangel, Miramar và Vikendi dựa theo thời gian chơi của bạn. ➡ Chi tiết bản Patch 4.1 xem tại: http://bit.ly/Patch4-1VN 🎉 Máy chủ LIVE đã ra mắt bản Patch 4.1 với nhiều tính năng và cập nhật mới vô cùng hấp dẫn 1⃣ CẬP NHẬT ĐỒ HỌA ERANGEL - Bản đồ huyền thoại Erangel sẽ được làm mới lại với một diện mạo mới tuyệt đẹp. 2⃣ SURVIVOR PASS 4: AFTERMATH - Survivor Pass mới với nhiều phần thưởng cực hấp dẫn sẽ được ra mắt. ➡ Chi tiết Survivor Pass 4: Aftermath xem tại: https://pass.pubg.com/ 3⃣ HỆ THỐNG NHIỆM VỤ HỢP TÁC - Hệ thống mới trong Survivor Pass sẽ giúp bạn có thể cùng các người chơi khác hoàn thành nhiệm vụ và nhận thưởng. 4⃣ HỆ THỐNG DANH HIỆU SINH TỒN MÙA 4 - Mùa rank thứ 4 sẽ được bắt đầu từ ngày 24 tháng 07 với phần thưởng là các skin cực chất. 5⃣ CÂN BẰNG VŨ KHÍ VÀ PHƯƠNG TIỆN - Điều chỉnh chỉ số của rất nhiều loại vũ khí và phương tiện. 6⃣ CẢI TIẾN VẬT PHẨM HỒI MÁU VÀ TĂNG LỰC - Cải tiến cách sử dụng các vật phẩm này để tiện lợi hơn khi sử dụng. 7⃣ THÊM ĐẦU ĐĨA THAN VÀO BẢN ĐỒ ERANGEL - Giờ bạn có thể có thêm những chiến thuật mới với chiếc máy phát nhạc này. 8⃣ LÀM MỚI GIAO DIỆN TAB NGOẠI HÌNH NHÂN VẬT - Làm mới tab Ngoại Hình và có thêm cả skin cho phương tiện 9⃣ THẾ GIỚI - Logo của PUBG Nations Cup Seoul 2019 sẽ xuất hiện ở nhiều bản đồ. 🔟 CẢI THIỆN HỆ THỐNG TÌM TRẬN - Hệ thống tìm trận sẽ được cập nhật giúp bạn tìm trận nhanh nhất 1⃣1⃣ THÊM SKIN CHẢO CỦA PUBG NATIONS CUP - Bạn có thể mua skin này từ ngày 31/07/2019. 1⃣2⃣ CẬP NHẬT GIẢI PHÉP CHO VIỆC FPS ẢNH HƯỚNG TỚI TỐC ĐỘ BẮN CỦA ĐẠN 1⃣3⃣ CẢI THIỆN GIAO DIỆN VÒNG TRONG GAME - Giao diện vòng giờ sẽ ở bên phải, tiện cho bạn sử dụng hơn ➡ Chi tiết bản Patch 4.1 xem tại: http://bit.ly/Patch4-1VN 🎉 Hãy cùng trải nghiệm tất cả những điều hấp dẫn nhất ở Patch 4.1 ngay bây giờ trên máy chủ LIVE! #PUBG #PUBGVN #PUBGSEA #Patch #Erangel #SurvivorPass4 #Aftermath #NhiệmvụHợpTác #Danhhiệusinhtồnmùa4 #ĐầuĐĩaThan #PUBGNationsCup2019",379,358,7,12,2,,,30 bình luậ,868744020170554,/story.php?story_fbid=868744020170554&id=526840431027583
 BATTLEGROUNDS,,2019-07-26 20:44:15,"🏆 [MET ASIA SERIES: PUBG CLASSIC] BLACK ANANAS (TRUNG QUỐC) DẪN ĐẦU SAU NGÀY ĐẦU TIÊN, GEN.G TOP 2 🇨🇳 Một ngày thi đấu tuyệt vời của đại diện tới từ Trung Quốc - Black Ananas với 60 điểm cùng 36 Kills.  🇰🇷 Xếp ngay sau họ là đội tuyển hàng đầu của PUBG Hàn Quốc: Gen.G - Nhà vô địch TPP PGI 2018 đã có một ngày thi đấu khá ấn tượng với 55 điểm - 38 Kills. Xếp thứ 3⃣ - thứ 4⃣ là DPG Danawa (Hàn Quốc) và 17 Gaming (Trung Quốc). 🎉 Kết quả của các đội tuyển Đông Nam Á: 🇹🇭 Armory Gaming hiện đang xếp thứ 6 với 42 điểm. 🇹🇭 Tokio Striker xếp thứ 8 với 39 điểm. 🇮🇩 Rex Regum Qeon xếp thư 9 với 36 điểm. 📺 Đừng quên đón xem ngày thi đấu thứ 2 của MET ASIA SERIES: PUBG CLASSIC trên fanpage PLAYERUNKNOWN'S BATTLEGROUNDS vào lúc 15h00. #PUBG #PUBGVN #PUBGVietnam #MET_Asia_Series #PUBGClassic",547,521,11,12,3,,,35 bình luậ,868410290203927,/story.php?story_fbid=868410290203927&id=526840431027583
 BATTLEGROUNDS,,2019-07-26 18:18:49,"Với kinh nghiệm của mình HLV DJChip sẽ là chỗ dựa lớn cho các thành viên Vietnam All-Stars 😎 ➡ Danh sách 16 team tham dự PUBG NATIONS CUP 2019: https://www.facebook.com/PUBG.VN.Official/posts/862040504174239 🇻🇳 ĐỘI HÌNH VIETNAM ALL-STARS THAM DỰ PUBG NATIONS CUP 2019 🇻🇳 Sapauu (Player #1) 🇻🇳 Nhism (Player #2) 🇻🇳 Leviz (Player #3) 🇻🇳 BAsill (Player #4) 🇻🇳 DJChip (Coach) 🇻🇳 Hãy cùng theo dõi và cổ vũ cho đội tuyển Việt Nam tại giải đấu PUBG Nations Cup 2019. 🏆 Thông tin về giải đấu PUBG Nations Cup 2019: - Tổng giải thưởng: 500,000 USD - Thời gian: 3 ngày từ 09-11/08/2019 - Địa điểm: JangChung Arena, Seoul, Hàn Quốc - Số đội tham dự: 16 đội đến từ 5 vùng lãnh thổ ➡ Chi tiết về về giải đấu PUBG Nations Cup 2019 xem tại: http://bit.ly/PNC2019VN #PUBG #PUBGVN #PUBGEsports #PUBGNationsCup #NationsCup #PNC #PNC2019 #AllStars #PUBGVietnam #Leviz #BAsill #Sapauu #Nhism #DJChip #VietnamAllstars","1,4K","1,2K",101,47,,,,75 bình luậ,868336600211296,/story.php?story_fbid=868336600211296&id=526840431027583
