source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Refund Gaming,,2019-07-16 01:05:32,Đội hình Refund Omega #RefundGaming #PUBG #RFO,"Trung Kiên Nguyễn và 8,2K người khác","6,8K",579,743,66,6,1,386 bình luậ,706872569773091,/story.php?story_fbid=706872569773091&id=577239352736414
Refund Gaming,,2019-07-01 00:47:04,"Chiến thắng không phải là tất cả !!! Về thôi anh em ạ. Cảm ơn anh em đã luôn luôn sát cánh, ủng hộ, động viên bọn mình.  Cúi đầu ... #RefundGaming","Trung Kiên Nguyễn và 7,9K người khác","5,9K",65,"1,6K",6,255,1,517 bình luậ,698210150639333,/story.php?story_fbid=698210150639333&id=577239352736414
Refund Gaming,,2019-06-29 13:14:02,RefundGaming Number 1,"6,6K","5,2K",464,937,14,6,,366 bình luậ,697301667396848,/story.php?story_fbid=697301667396848&id=577239352736414
Refund Gaming,,2019-06-28 14:10:11,Mọi thứ đã xong Ngày mai bắt đầu nhé,Lâm Đình Khoa và 10K người khác,"8,2K",541,"1,4K",22,6,1,494 bình luậ,696723894121292,/story.php?story_fbid=696723894121292&id=577239352736414
Refund Gaming,,2019-06-27 08:48:27,Chúng tôi sẽ mang chiến thắng về. Cùng đồng hành và cổ vũ cho Refund Gaming trong 2 ngày sắp tới nhé các bạn. Thank all. #RefundGaming #Pubgseass2,Trung Kiên Nguyễn và 11K người khác,"9,1K",407,"1,9K",12,3,,682 bình luậ,695871707539844,/story.php?story_fbid=695871707539844&id=577239352736414
Refund Gaming,,2019-06-17 00:23:08,Bữa tối của nhà vô địch #RefundGaming,7K,"5,8K",714,468,41,5,1,192 bình luậ,688814828245532,/story.php?story_fbid=688814828245532&id=577239352736414
Refund Gaming,,2019-06-14 22:15:42,"Cuối cùng sau 8 ngày đồng hành cùng PUBG Vietnam Series, RefundGaming đã xuất sắc dành được vị trí TOP 1 trên bảng xếp hàng và đặc biệt Nhism cũng đã có được thành công sau khi train 21 tiếng 1 ngày để dành được MVP của giải đấu ! Cảm ơn các bạn đã đồng hành cùng RefundGaming trong thời gian qua ! Hãy đón chờ mọi thứ ở giải Thái sắp tới nhé !","Trung Kiên Nguyễn và 6,4K người khác","4,9K",353,1K,9,1,,293 bình luậ,687413251719023,/story.php?story_fbid=687413251719023&id=577239352736414
Refund Gaming,,2019-06-14 21:14:41,Round 23 của giải đấu. Refund Gaming đã có một #1 quan trọng trong cuộc đua nước rút ngày thi đấu cuối cùng. Chúng ta chỉ còn 1 round đấu cuối cùng nữa thôi.  Hãy cùng cổ vũ cho Refund Gaming.,"3,2K","2,6K",100,483,4,,,133 bình luậ,687377188389296,/story.php?story_fbid=687377188389296&id=577239352736414
Refund Gaming,,2019-06-12 14:05:05,"Hôm nay là ngày thi đấu thứ 4 trong giải PVS rồi mọi người ạ ! Ngày thi đấu hqua RF đang giữ được một phong độ thi đấu khá tốt, hi vọng ngày hnay RF lại giữ được phong độ cũng như sự bình tĩnh để có được kết quả tốt hơn ! Các bạn hãy nhớ đón xem và cổ vũ RefundGaming vào lúc 18h ngày hôm nay nhé ! #RefundGaming","6,3K","4,6K","1,1K",467,9,9,,261 bình luậ,685776231882725,/story.php?story_fbid=685776231882725&id=577239352736414
Refund Gaming,,2019-06-12 00:49:35,Train 21 tiếng 1 ngày chỉ có 3 tiếng để ngủ. Mà giấc ngủ của các thành viên cũng chưa đc tròn 😞  Tranh thủ rảnh lúc nào là ngủ lúc đấy 😞 Chỉ còn 3 ngày thi đấu nữa thôi ! Các bạn hãy ủng hộ cho team mình nhé ! #RefundGaming,"Trung Kiên Nguyễn và 6,3K người khác","4,9K",731,629,7,53,,225 bình luậ,685420155251666,/story.php?story_fbid=685420155251666&id=577239352736414
Refund Gaming,,2019-06-12 00:06:32,"Như vậy là sau ngày thi đấu thứ 3 của giải. Refund Gaming đã tạm thời đứng ở vị trí #1 trên bảng xếp hạng.  Refund Gaming đã đi được một nửa quãng đường. Chúng ta còn 3 ngày phía trước, hãy cổ vũ và động viên tất cả anh em trong team để có tinh thần thi đấu tốt nhất nhé.  Cảm ơn anh em. #RefundGaming #PVS2019 #PUBG","Trung Kiên Nguyễn và 3,7K người khác","3,1K",112,546,9,1,,174 bình luậ,685398745253807,/story.php?story_fbid=685398745253807&id=577239352736414
