source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Vietnam Championship Series - LMHT,,2019-07-25 12:00:01,"THÔNG BÁO XỬ PHẠT PHẠM MINH LỘC - ZEROS Vào ngày 24/07/2019, BTC VCS có nhận được các hình ảnh cho thấy các hành vi không phù hợp quy tắc ứng xử dành cho vận động viên VCS của Phạm Minh Lộc (Zeros) ở máy chủ Hàn Quốc. Vi phạm của Zeros đã được BTC và đội chủ quản GAM Esports xác nhận, dẫn đến quyết định sau: Phạm Minh Lộc (Zeros) sẽ bị cấm thi đấu một trận trong khuôn khổ vòng 9 VCS Hè 2019.","7,8K","6,2K","1,2K",31,48,343,9,602 bình luậ,3520437247968226,/story.php?story_fbid=3520437247968226&id=837317842946860
Vietnam Championship Series - LMHT,,2019-07-14 18:30:31,Nevan đã xuất hiện trở lại ở 2 vị trí đi rừng và đường trên trong kèo đấu Bo3 trước FTV #VCS,581,559,15,2,3,2,,18 bình luậ,3490867424258542,/story.php?story_fbid=3490867424258542&id=837317842946860
Vietnam Championship Series - LMHT,,2019-07-14 12:20:09,Ai sẽ vượt lên trong cuộc đua top 4 giữa LK và FL? #VCS,"1,5K","1,4K",31,8,1,2,,24 bình luậ,3490236584321626,/story.php?story_fbid=3490236584321626&id=837317842946860
Vietnam Championship Series - LMHT,,2019-07-13 18:32:04,GAM đang chơi ngày càng xuất sắc hơn! #VCS,"3,9K","3,7K",88,60,4,3,1,65 bình luậ,3488227067855911,/story.php?story_fbid=3488227067855911&id=837317842946860
Vietnam Championship Series - LMHT,,2019-07-13 09:33:40,GAM liệu có thêm một chiến thắng nữa ở tuần này? #VCS,662,632,23,6,1,,,18 bình luậ,3487328491279102,/story.php?story_fbid=3487328491279102&id=837317842946860
Vietnam Championship Series - LMHT,,2019-07-12 22:56:15,FL cũng cân bằng điểm số trên bảng xếp hạng với LK và DBL #VCS,374,357,11,4,,2,,16 bình luậ,3486107611401190,/story.php?story_fbid=3486107611401190&id=837317842946860
Vietnam Championship Series - LMHT,,2019-07-12 19:02:42,GAM trở thành đội đầu tiên đánh bại DBL ở mùa giải này. #VCS,"3,5K","3,4K",85,51,6,2,,77 bình luậ,3485543454790939,/story.php?story_fbid=3485543454790939&id=837317842946860
Vietnam Championship Series - LMHT,,2019-07-12 08:00:59,Liệu FL cân bằng điểm số với DBL chiều hôm nay không? Khi mà nhà đương kim vô địch sẽ có cuộc đại chiến với GAM Esports #VCS,592,564,19,8,1,,,23 bình luậ,3484336714911613,/story.php?story_fbid=3484336714911613&id=837317842946860
Vietnam Championship Series - LMHT,,2019-07-11 23:19:48,Ngày thi đấu đầu tiên của tuần 3 VCS Mùa Hè 2019 đã diễn ra 2 cặp đấu. Những người nở nụ cười cuối cùng là LK và CES. #VCS,340,325,9,6,,,,14 bình luậ,3483270245018260,/story.php?story_fbid=3483270245018260&id=837317842946860
Vietnam Championship Series - LMHT,,2019-07-11 10:04:03,Chiều nay VCS Mùa Hè 2019 sẽ trở lại #VCS,264,253,6,5,,,,9 bình luậ,3481811481830803,/story.php?story_fbid=3481811481830803&id=837317842946860
Vietnam Championship Series - LMHT,,2019-07-09 17:11:02,Lịch thi đấu Tuần 3 VCS Hè 2019,"1,4K","1,3K",30,33,4,,,88 bình luậ,3477221818956436,/story.php?story_fbid=3477221818956436&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-30 17:53:00,Kết quả cũng giúp cho QG có vị trí tốt trên BXH VCS Mùa Hè 2019 #VCS,"1,9K","1,8K",21,11,,6,,62 bình luậ,3452638244748127,/story.php?story_fbid=3452638244748127&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-30 10:51:44,Chiều nay DBL liệu có thể tiếp tục thể hiện sức mạnh trước LK như cái cách họ đã đánh bại FL không? #VCS,"1,3K","1,3K",17,11,1,1,,24 bình luậ,3451954304816521,/story.php?story_fbid=3451954304816521&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-29 21:37:10,Tuần đấu toàn thắng cho GAM Esports 👍 #VCS,"2,2K","2,1K",31,46,2,2,2,61 bình luậ,3450482931630325,/story.php?story_fbid=3450482931630325&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-29 19:03:54,Lee Sin trong tay YiJin chơi rất hay bên cạnh sự kỷ luật trong lối chơi của tập thể FL. #VCS,"1,1K","1,1K",25,18,1,1,,22 bình luậ,3450108778334407,/story.php?story_fbid=3450108778334407&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-28 22:00:27,Cuối cùng thì GAM và Levi đã có được chiến thắng đầu tay tại VCS Mùa Hè 2019 👍,1K,1K,34,29,1,2,,46 bình luậ,3447793361899282,/story.php?story_fbid=3447793361899282&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-28 17:48:32,Nhà đương kim á quân EVOS đã có cho mình chiến thắng thứ 2 ở mùa giải này  #VCS,723,680,29,3,1,10,,28 bình luậ,3447268021951816,/story.php?story_fbid=3447268021951816&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-28 14:41:36,Genza hoàn toàn tự tin trước thềm trận đấu với EVOS Esports LoL! #VCS,"2,9K","2,7K",137,14,2,7,1,67 bình luậ,3446966671981951,/story.php?story_fbid=3446966671981951&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-28 10:09:30,"Hôm nay, GAM được kỳ vọng có điểm số đầu tiên của #VCS Mùa Hè 2019 💪","1,1K",1K,24,6,3,1,,48 bình luậ,3446538455358106,/story.php?story_fbid=3446538455358106&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-28 00:27:44,Thử thách thực sự đầu tiên mang tên Team Flash đã được nhà đương kim vô địch VCS Dashing Buffalo giải quyết gọn gàng. #VCS,"1,2K","1,2K",51,13,4,4,1,73 bình luậ,3445480832130535,/story.php?story_fbid=3445480832130535&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-27 18:34:45,LK dù gặp đôi chút khó khăn nhưng vẫn có cho mình chiến thắng chung cuộc! #VCS,861,818,28,13,1,1,,41 bình luậ,3444733205538631,/story.php?story_fbid=3444733205538631&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-27 13:55:44,Tham vọng vô địch của Team Flash LOL Esports hay Dashing Buffalo Esports sẽ được thể hiện rõ nét hơn ở tuần 2 này? #VCS,2K,"1,9K",61,12,2,,2,51 bình luậ,3444287992249819,/story.php?story_fbid=3444287992249819&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-27 11:39:28,FL liệu sẽ khiến DBL đón nhận thất bại đầu tiên? #VCS,610,593,11,6,,,,29 bình luậ,3444090472269571,/story.php?story_fbid=3444090472269571&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-23 22:12:40,Đúng là cặp đấu cân tài cân sức và chiến thắng cho đội bản lĩnh hơn DBL! Tuần thi đấu đầu tiên của VCS Mùa Hè 2019 cũng đã khép lại #VCS,473,452,14,6,,1,,16 bình luậ,3434314656580486,/story.php?story_fbid=3434314656580486&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-23 17:23:23,Sức mạnh không thể chối cãi của Team Flash giúp họ có được chiến thắng 2-0 thứ 2 trong tuần 1 VCS Mùa Hè 2019 #VCS,660,628,22,10,,,,29 bình luậ,3433711383307480,/story.php?story_fbid=3433711383307480&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-23 12:43:59,Màn đụng độ giữa 2 tài năng trẻ Mias (EVS) và Raizo (DBL) rất đáng mong chờ 👍 #VCS,619,589,22,8,,,,20 bình luậ,3433251586686793,/story.php?story_fbid=3433251586686793&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-22 20:55:02,GAM tiếp tục có trận thua trắng thứ 2. Lần này đội đánh bại họ là tân binh QG! #VCS,"1,7K","1,5K",137,6,3,39,,119 bình luậ,3431432436868708,/story.php?story_fbid=3431432436868708&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-22 17:46:06,LK hoàn tất tuần thi đấu đầu tiên thành công với chiến thắng 2-0 trước CES! #VCS,822,785,25,10,1,1,,45 bình luậ,3431046356907316,/story.php?story_fbid=3431046356907316&id=837317842946860
