,reactions,comments,post_id
648,23000,267 bình luậ,1305487359629577
267,23000,267 bình luậ,1305487359629577
176,22000,1.768 bình luậ,1312321575612822
557,22000,1.768 bình luậ,1312321575612822
299,21000,238 bình luậ,1302950329883280
677,21000,238 bình luậ,1302950329883280
42,20000,525 bình luậ,1324375617740751
423,20000,525 bình luậ,1324375617740751
539,19000,554 bình luậ,1314344088743904
158,19000,554 bình luậ,1314344088743904
161,18000,483 bình luậ,1313858448792468
542,18000,483 bình luậ,1313858448792468
683,16000,276 bình luậ,1302802736564706
300,16000,276 bình luậ,1302802736564706
149,15000,279 bình luậ,1315395558638757
2,15000,711 bình luậ,1327728960738750
494,15000,817 bình luậ,1318213248356988
383,15000,718 bình luậ,1327728960738750
530,15000,279 bình luậ,1315395558638757
603,15000,363 bình luậ,1308383822673264
113,15000,817 bình luậ,1318213248356988
222,15000,363 bình luậ,1308383822673264
139,14000,295 bình luậ,1316855268492786
520,14000,295 bình luậ,1316855268492786
91,14000,319 bình luậ,1319624374882542
472,14000,319 bình luậ,1319624374882542
274,13000,336 bình luậ,1304595033052143
69,13000,466 bình luậ,1322869474558032
601,13000,309 bình luậ,1308825049295808
399,13000,427 bình luậ,1325503820961264
450,13000,466 bình luậ,1322869474558032
658,13000,336 bình luậ,1304595033052143
220,13000,309 bình luậ,1308825049295808
18,13000,427 bình luậ,1325503820961264
425,13000,458 bình luậ,1323954104449569
44,13000,458 bình luậ,1323954104449569
581,12000,198 bình luậ,1310513545793625
385,12000,338 bình luậ,1327168204128159
4,12000,337 bình luậ,1327168204128159
503,12000,341 bình luậ,1318059258372387
122,12000,341 bình luậ,1318059258372387
518,12000,783 bình luậ,1317201615124818
137,12000,783 bình luậ,1317201615124818
200,12000,198 bình luậ,1310513545793625
410,11000,358 bình luậ,1325195674325412
249,11000,574 bình luậ,1306664692845177
529,11000,266 bình luậ,1315418088636504
29,11000,358 bình luậ,1325195674325412
148,11000,266 bình luậ,1315418088636504
626,11000,153 bình luậ,1307241652787481
55,11000,486 bình luậ,1323163427861970
630,11000,574 bình luậ,1306664692845177
436,11000,486 bình luậ,1323163427861970
245,11000,153 bình luậ,1307241652787481
284,10000,155 bình luậ,1303271173184529
76,10000,531 bình luậ,1320740241437622
642,10000,398 bình luậ,1306326196212360
665,10000,155 bình luậ,1303271173184529
437,10000,566 bình luậ,1323126834532296
168,10000,299 bình luậ,1313052588873054
12,10000,250 bình luậ,1326044760907170
261,10000,398 bình luậ,1306326196212360
457,10000,531 bình luậ,1320740241437622
262,10000,949 bình luậ,1306283809549932
579,10000,392 bình luậ,1310691025775877
198,10000,392 bình luậ,1310691025775877
56,10000,566 bình luậ,1323126834532296
156,10000,290 bình luậ,1314485565396423
549,10000,299 bình luậ,1313052588873054
537,10000,290 bình luậ,1314485565396423
643,10000,949 bình luậ,1306283809549932
393,10000,250 bình luậ,1326044760907170
38,9800,569 bình luậ,1324500697728243
419,9800,569 bình luậ,1324500697728243
645,9500,175 bình luậ,1305799702931676
196,9500,143 bình luậ,1310796265765353
577,9500,143 bình luậ,1310796265765353
264,9500,175 bình luậ,1305799702931676
446,9400,370 bình luậ,1322946101217036
65,9400,370 bình luậ,1322946101217036
541,9200,195 bình luậ,1314220248756288
160,9200,195 bình luậ,1314220248756288
302,8800,296 bình luậ,341067713495332
394,8800,296 bình luậ,341067713495332
13,8800,296 bình luậ,341067713495332
657,8700,223 bình luậ,1304665723045074
273,8700,223 bình luậ,1304665723045074
615,8600,153 bình luậ,1307510782760568
234,8600,153 bình luậ,1307510782760568
661,8400,98 bình luậ,1303666276478352
280,8400,98 bình luậ,1303666276478352
265,8300,309 bình luậ,1305727342938912
51,8300,286 bình luậ,1323790897799223
646,8300,309 bình luậ,1305727342938912
432,8300,286 bình luậ,1323790897799223
560,8300,131 bình luậ,1312227065622273
179,8300,131 bình luậ,1312227065622273
652,7900,242 bình luậ,1304741199704193
271,7900,242 bình luậ,1304741199704193
454,7900,175 bình luậ,1322481444596835
73,7900,175 bình luậ,1322481444596835
505,7800,549 bình luậ,1317542168424096
124,7800,549 bình luậ,1317542168424096
462,7700,495 bình luậ,1319914621520184
81,7700,495 bình luậ,1319914621520184
525,7700,304 bình luậ,1316024911909155
144,7700,304 bình luậ,1316024911909155
673,7600,255 bình luậ,1303054583206188
293,7600,255 bình luậ,1303054583206188
255,7500,429 bình luậ,1306577636187216
636,7500,429 bình luậ,1306577636187216
60,7400,213 bình luậ,1323038854541094
246,7400,132 bình luậ,1307200892791557
627,7400,132 bình luậ,1307200892791557
441,7400,213 bình luậ,1323038854541094
651,7300,196 bình luậ,1304769923034654
667,7300,350 bình luậ,1303244919853821
270,7300,196 bình luậ,1304769923034654
221,7300,99 bình luậ,1308772035967776
286,7300,350 bình luậ,1303244919853821
602,7300,99 bình luậ,1308772035967776
157,7100,161 bình luậ,1314405762071070
538,7100,161 bình luậ,1314405762071070
62,6900,177 bình luậ,1322985941213052
443,6900,177 bình luậ,1322985941213052
449,6800,171 bình luậ,1322911661220480
68,6800,171 bình luậ,1322911661220480
207,6700,83 bình luậ,1309549835889996
588,6700,83 bình luậ,1309549835889996
70,6600,131 bình luậ,1322535251258121
451,6600,131 bình luậ,1322535251258121
287,6500,144 bình luậ,1303237346521245
668,6500,144 bình luậ,1303237346521245
206,6400,109 bình luậ,1309910835853896
587,6400,109 bình luậ,1309910835853896
637,6300,124 bình luậ,1306514926193487
256,6300,124 bình luậ,1306514926193487
395,6200,178 bình luậ,1325648004280179
14,6200,178 bình luậ,1325648004280179
237,6100,208 bình luậ,1307429842768662
19,6100,360 bình luậ,1325486260963020
400,6100,360 bình luậ,1325486260963020
117,6100,199 bình luậ,1318149351696711
618,6100,208 bình luậ,1307429842768662
498,6100,199 bình luậ,1318149351696711
154,6000,185 bình luậ,1314635195381460
535,6000,185 bình luậ,1314635195381460
263,5900,130 bình luậ,1306014492910197
644,5900,130 bình luậ,1306014492910197
197,5900,120 bình luậ,1310740439104269
578,5900,120 bình luậ,1310740439104269
228,5900,149 bình luậ,1308152719363041
609,5900,149 bình luậ,1308152719363041
225,5800,205 bình luậ,1308193009359012
452,5800,97 bình luậ,1322526657925647
212,5800,200 bình luậ,1309106189267694
71,5800,97 bình luậ,1322526657925647
607,5800,205 bình luậ,1308193009359012
593,5800,200 bình luậ,1309106189267694
424,5700,164 bình luậ,1324012684443711
43,5700,164 bình luậ,1324012684443711
362,5600,251 bình luậ,572525693216480
72,5600,309 bình luậ,1322496791261967
295,5600,116 bình luậ,1303018366543143
676,5600,116 bình luậ,1303018366543143
453,5600,309 bình luậ,1322496791261967
580,5600,105 bình luậ,1310661362445510
199,5600,105 bình luậ,1310661362445510
92,5500,93 bình luậ,1319435371568109
473,5500,93 bình luậ,1319435371568109
585,5500,92 bình luậ,1309922845852695
107,5500,252 bình luậ,1318345571677089
204,5500,92 bình luậ,1309922845852695
488,5500,252 bình luậ,1318345571677089
447,5300,244 bình luậ,1322937161217930
66,5300,244 bình luậ,1322937161217930
30,5200,123 bình luậ,1324727054372274
590,5200,102 bình luậ,1309180075926972
209,5200,102 bình luậ,1309180075926972
411,5200,123 bình luậ,1324727054372274
506,5200,206 bình luậ,1317513995093580
125,5200,206 bình luậ,1317513995093580
420,5100,78 bình luậ,1324388927739420
214,5100,207 bình luậ,1309037042607942
438,5100,389 bình luậ,1323119427866370
240,5100,101 bình luậ,1307338309444482
188,5100,77 bình luậ,1277545952423718
621,5100,101 bình luậ,1307338309444482
39,5100,78 bình luậ,1324388927739420
382,5100,207 bình luậ,1327841027394210
57,5100,389 bình luậ,1323119427866370
569,5100,77 bình luậ,1277545952423718
595,5100,207 bình luậ,1309037042607942
238,5000,185 bình luậ,1307396002772046
582,5000,215 bình luậ,1310487059129607
1,5000,206 bình luậ,1327841027394210
619,5000,185 bình luậ,1307396002772046
201,5000,215 bình luậ,1310487059129607
211,4900,173 bình luậ,1309117825933197
41,4900,134 bình luậ,1324380174406962
598,4900,167 bình luậ,1308963885948591
218,4900,167 bình luậ,1308963885948591
155,4900,152 bình luậ,1314551518723161
282,4900,89 bình luậ,1303340109844302
430,4900,108 bình luậ,1323802391131407
545,4900,239 bình luậ,1313675405477439
50,4900,108 bình luậ,1323802391131407
592,4900,173 bình luậ,1309117825933197
536,4900,152 bình luậ,1314551518723161
422,4900,134 bình luậ,1324380174406962
663,4900,89 bình luậ,1303340109844302
164,4900,239 bình luậ,1313675405477439
570,4800,67 bình luậ,1311896872321959
189,4800,67 bình luậ,1311896872321959
401,4800,105 bình luậ,1325473337630979
20,4800,105 bình luậ,1325473337630979
224,4700,163 bình luậ,1308226366022343
241,4700,156 bình luậ,1307316036113376
605,4700,163 bình luậ,1308226366022343
458,4700,152 bình luậ,1320505391461107
622,4700,156 bình luậ,1307316036113376
77,4700,152 bình luậ,1320505391461107
202,4700,160 bình luậ,1310446779133635
583,4700,160 bình luậ,1310446779133635
182,4600,217 bình luậ,1311978165647163
236,4600,117 bình luậ,1307451046099875
102,4600,191 bình luậ,1318984891613157
616,4600,117 bình luậ,1307451046099875
483,4600,191 bình luậ,1318984891613157
563,4600,217 bình luậ,1311978165647163
259,4600,164 bình luậ,1306463162865330
640,4600,164 bình luậ,1306463162865330
550,4500,272 bình luậ,1312798975565082
555,4500,146 bình luậ,1312682472243399
269,4500,146 bình luậ,1305026499675663
650,4500,146 bình luậ,1305026499675663
169,4500,272 bình luậ,1312798975565082
174,4500,146 bình luậ,1312682472243399
664,4400,100 bình luậ,1303302469848066
288,4400,181 bình luậ,1303193716525608
163,4400,297 bình luậ,1313683138809999
544,4400,297 bình luậ,1313683138809999
669,4400,181 bình luậ,1303193716525608
283,4400,100 bình luậ,1303302469848066
561,4300,74 bình luậ,1312094515635528
633,4300,160 bình luậ,1306633796181600
180,4300,74 bình luậ,1312094515635528
115,4300,172 bình luậ,1318178988360414
252,4300,160 bình luậ,1306633796181600
496,4300,172 bình luậ,1318178988360414
531,4200,111 bình luậ,1315209495324030
195,4200,54 bình luậ,1311201895724790
620,4200,135 bình luậ,1307376272774019
150,4200,111 bình luậ,1315209495324030
576,4200,54 bình luậ,1311201895724790
239,4200,135 bình luậ,1307376272774019
519,4100,88 bình luậ,1317098558468457
480,4100,216 bình luậ,1319013254943654
184,4100,162 bình luậ,1311948572316789
138,4100,88 bình luậ,1317098558468457
623,4100,125 bình luậ,1307289732782673
243,4100,125 bình luậ,1307289732782673
100,4100,216 bình luậ,1319013254943654
565,4100,162 bình luậ,1311948572316789
111,4000,204 bình luậ,1318280701683576
99,4000,208 bình luậ,1319020404942939
397,4000,142 bình luậ,1325564537621859
95,4000,177 bình luậ,1319206534924326
16,4000,142 bình luậ,1325564537621859
86,4000,109 bình luậ,1319801784864801
48,4000,81 bình luậ,1323865867791726
492,4000,204 bình luậ,1318280701683576
429,4000,81 bình luậ,1323865867791726
213,4000,137 bình luậ,1309072295937750
467,4000,109 bình luậ,1319801784864801
594,4000,137 bình luậ,1309072295937750
476,4000,177 bình luậ,1319206534924326
479,4000,208 bình luậ,1319020404942939
403,3900,115 bình luậ,1325440397634273
192,3900,86 bình luậ,1311847452326901
22,3900,115 bình luậ,1325440397634273
178,3900,129 bình luậ,1312255832286063
83,3900,157 bình luậ,1319851394859840
186,3900,79 bình luậ,1311919402319706
193,3900,61 bình luậ,1311411859037127
231,3900,58 bình luậ,1307944936050486
464,3900,157 bình luậ,1319851394859840
559,3900,129 bình luậ,1312255832286063
574,3900,61 bình luậ,1311411859037127
612,3900,58 bình luậ,1307944936050486
573,3900,86 bình luậ,1311847452326901
567,3900,79 bình luậ,1311919402319706
389,3800,108 bình luậ,1326461330865513
7,3800,107 bình luậ,1326461330865513
398,3700,219 bình luậ,1325513340960312
17,3700,219 bình luậ,1325513340960312
153,3600,85 bình luậ,1314663275378652
660,3600,244 bình luậ,1303825836462396
279,3600,244 bình luậ,1303825836462396
181,3600,122 bình luậ,1312046562306990
82,3600,161 bình luậ,1319883828189930
463,3600,161 bình luậ,1319883828189930
562,3600,122 bình luậ,1312046562306990
611,3600,82 bình luậ,1308097296035250
230,3600,82 bình luậ,1308097296035250
534,3600,85 bình luậ,1314663275378652
322,3500,275 bình luậ,365001947534469
670,3500,117 bình luậ,1303142953197351
93,3500,129 bình luậ,1319297004915279
439,3500,122 bình luậ,1323089601202686
474,3500,129 bình luậ,1319297004915279
58,3500,122 bình luậ,1323089601202686
289,3500,117 bình luậ,1303142953197351
15,3500,113 bình luậ,1325615810950065
396,3500,113 bình luậ,1325615810950065
106,3400,129 bình luậ,1318398805005099
487,3400,129 bình luậ,1318398805005099
638,3400,74 bình luậ,1306492862862360
416,3400,117 bình luậ,1324594037718909
459,3400,157 bình luậ,1320458621465784
35,3400,117 bình luậ,1324594037718909
649,3400,202 bình luậ,1305445382967108
268,3400,202 bình luậ,1305445382967108
32,3400,142 bình luậ,1324683621043284
427,3400,130 bình luậ,1323919971119649
46,3400,130 bình luậ,1323919971119649
413,3400,143 bình luậ,1324683621043284
257,3400,74 bình luậ,1306492862862360
78,3400,157 bình luậ,1320458621465784
305,3400,157 bình luậ,1320458621465784
444,3300,84 bình luậ,1322970494547930
24,3300,104 bình luậ,1325422260969420
426,3300,76 bình luậ,1323923857785927
384,3300,152 bình luậ,1327627340748912
405,3300,104 bình luậ,1325422260969420
127,3300,111 bình luậ,1317478848430428
45,3300,76 bình luậ,1323923857785927
63,3300,84 bình luậ,1322970494547930
508,3300,111 bình luậ,1317478848430428
140,3200,159 bình luậ,1316848181826828
521,3200,159 bình luậ,1316848181826828
3,3200,150 bình luậ,1327627340748912
301,3100,190 bình luậ,1326286854216294
391,3100,190 bình luậ,1326286854216294
9,3100,188 bình luậ,1326286854216294
52,3000,276 bình luậ,1323783221133324
455,3000,201 bình luậ,1321987474646232
659,3000,161 bình luậ,1303850013126645
433,3000,276 bình luậ,1323783221133324
74,3000,201 bình luậ,1321987474646232
610,3000,88 bình luậ,1308126849365628
278,3000,161 bình luậ,1303850013126645
229,3000,88 bình luậ,1308126849365628
171,3000,72 bình luậ,1312749945569985
552,3000,72 bình luậ,1312749945569985
31,2900,83 bình luậ,1324692977709015
162,2900,88 bình luậ,1313750342136612
412,2900,83 bình luậ,1324692977709015
596,2900,59 bình luậ,1309029755942004
543,2900,88 bình luậ,1313750342136612
215,2900,59 bình luậ,1309029755942004
177,2800,400 bình luậ,1312383685606611
208,2800,36 bình luậ,1309199319258381
558,2800,400 bình luậ,1312383685606611
159,2800,151 bình luậ,1314100242101622
152,2800,101 bình luậ,1314699612041685
589,2800,36 bình luậ,1309199319258381
540,2800,151 bình luậ,1314100242101622
312,2800,101 bình luậ,1314699612041685
533,2800,101 bình luậ,1314699612041685
232,2800,132 bình luậ,1307900732721573
613,2800,132 bình luậ,1307900732721573
478,2700,78 bình luậ,1319104348267878
523,2700,261 bình luậ,1315970675247912
